,CSCO,INTC,Spread,ZScore
0,54.46,52.705,-4.569600000000001,
1,54.065,53.255,-5.580600000000011,
2,54.005,53.265,-5.6518000000000015,
3,54.545,53.99,-5.923800000000007,
4,54.995,54.145,-5.647400000000012,
5,54.495,54.76,-6.836200000000005,
6,53.93,48.365,-0.2388000000000048,
7,53.96,48.315,-0.15279999999999916,
8,54.615,47.21,1.7397999999999954,
9,54.975,46.83,2.5253999999999976,
10,55.035,47.015,2.3781999999999925,
11,54.77,47.915,1.1051999999999964,
12,54.9,48.455,0.6303999999999945,
13,56.385,48.755,1.7793999999999883,
14,56.415,49.275,1.2269999999999968,
15,55.895,49.54,0.4101999999999961,
16,55.845,50.14,-0.3118000000000052,
17,55.78,50.76,-1.0712000000000046,
18,56.21,50.415,-0.254800000000003,
19,56.53,49.98,0.5523999999999987,
20,55.545,49.755,-0.18060000000000542,0.3105822673811959
21,55.6,49.54,0.11519999999999442,0.3440586980597877
22,56.045,49.55,0.5489999999999995,0.41618508006606464
23,55.78,49.835,-0.03520000000000323,0.1267234572310914
24,55.545,49.46,0.14979999999999194,0.09932383285841084
25,52.48,48.92,-2.3104000000000084,-1.2324503287472126
26,52.11,48.76,-2.5012000000000043,-2.16031212040767
27,53.43,49.065,-1.5228000000000037,-1.3001232587209184
28,54.115,48.345,-0.03140000000000498,-0.19813048254277055
29,54.35,48.995,-0.5244,-0.4976418440954509
30,53.5,48.03,-0.29360000000000497,-0.24087286969143257
31,54.565,49.235,-0.5782000000000096,-0.40521520090448715
32,53.665,48.445,-0.5934000000000097,-0.3554836130790983
33,53.85,47.855,0.2524000000000015,0.4917264486271893
34,54.945,48.74,0.3561999999999941,0.732718124704132
35,55.025,48.495,0.7105999999999995,1.1957531186354775
36,55.74,50.21,-0.4952000000000041,-0.1316641900898224
37,56.835,51.765,-1.1418000000000035,-0.821923222096374
38,55.8,50.955,-1.269600000000004,-0.9478813395011225
39,56.315,49.705,0.6453999999999951,1.1291509243714042
40,57.98,49.815,2.187199999999997,2.3613116723823624
41,57.355,49.235,2.2117999999999896,2.019285827984923
42,56.53,48.935,1.7227999999999923,1.4587745480940775
43,58.645,49.895,2.762599999999992,1.9751459870556405
44,59.02,50.05,2.9639999999999986,1.8307960798946485
45,59.165,49.845,3.3385999999999925,1.799062420853133
46,59.065,48.84,4.36419999999999,2.078849873153891
47,59.72,49.99,3.731199999999994,1.5855456275517221
48,60.21,50.19,3.9971999999999994,1.5592170595883181
49,60.945,50.525,4.356999999999999,1.5521696115710102
50,62.06,51.145,4.7775999999999925,1.5699393538160753
51,62.17,50.965,5.089199999999991,1.5325161995708059
52,62.59,51.035,5.430800000000005,1.5172842107342932
53,62.255,50.945,5.1965999999999966,1.2804561557724012
54,62.01,50.71,5.21479999999999,1.168181862221542
55,61.805,52.395,3.1225999999999914,0.15019807595244836
56,60.29,52.325,1.6859999999999928,-0.5626214309125163
57,59.335,53.045,-0.07540000000000902,-1.4445381447919785
58,59.965,53.18,0.40339999999999776,-1.3294353568070465
59,60.175,52.62,1.2405999999999935,-1.0716604794137068
60,60.85,54.365,-0.03880000000000905,-1.7482275032518142
61,61.395,55.05,-0.2610000000000028,-1.6793508107032749
62,61.145,54.885,-0.32620000000000005,-1.5482617430749908
63,60.535,54.095,-0.051400000000008106,-1.3160814129508347
64,60.4,54.845,-1.0264000000000095,-1.5797897469808129
65,58.795,53.92,-1.595400000000005,-1.6145066242913075
66,57.98,52.795,-1.1504000000000119,-1.2886244629335937
67,57.17,51.24,-0.21880000000000877,-0.8351633166721246
68,55.79,51.24,-1.5988000000000113,-1.2473987509702071
69,56.01,51.145,-1.2724000000000117,-1.0185884904619402
70,55.23,50.215,-1.0108000000000104,-0.8338652132274009
71,54.465,50.895,-2.537400000000005,-1.3075658609695617
72,53.765,47.315,0.772199999999998,0.08811467215991221
73,54.74,47.0,2.0999999999999943,0.8121183184422122
74,54.8,48.07,0.96159999999999,0.42435495191383543
75,54.505,48.2,0.5209999999999937,0.3940092805335413
76,55.29,48.75,0.6899999999999906,0.6998601873369634
77,54.335,47.54,1.0901999999999958,1.101472115627257
78,54.285,47.635,0.9337999999999909,0.901754163216962
79,54.305,47.8,0.7689999999999984,0.7379265338362346
80,54.475,48.425,0.23899999999999721,0.33706090115610754
81,55.41,49.52,-0.05240000000001288,0.08077287763268552
82,54.01,48.475,-0.2820000000000107,-0.12073123312442746
83,53.055,47.255,0.12939999999998975,0.22262674026793736
84,52.345,47.205,-0.5246000000000066,-0.3326815269855305
85,53.42,48.06,-0.4072000000000031,-0.25910801740498646
86,53.4,47.85,-0.19200000000000728,-0.13306641505676164
87,54.895,47.195,2.0366,1.710580707102176
88,56.315,44.685,6.267799999999987,3.340320524397576
89,55.42,44.34,5.759199999999993,2.4463958707486837
90,53.585,44.3,3.969000000000001,1.4076498124613048
91,53.875,46.355,1.9573999999999998,0.39116952728424875
92,55.16,47.335,2.1447999999999894,0.40829607916080657
93,54.895,47.325,1.8909999999999982,0.24561914003273316
94,53.765,46.455,1.7353999999999985,0.17262442476908021
95,55.27,48.485,0.9667999999999992,-0.23687437280871904
96,55.19,47.555,1.9283999999999963,0.24065927341287136
97,55.625,47.695,2.2065999999999946,0.351361277854622
98,54.72,47.305,1.7383999999999915,0.08410439164035251
99,53.55,47.125,0.7699999999999889,-0.43053143414145817
100,55.045,47.255,2.1193999999999917,0.258570337890383
101,53.855,46.295,2.0045999999999893,0.15392403484218145
102,53.835,45.47,2.9086,0.5791961290471959
103,53.45,44.05,4.114000000000004,1.1350502037849697
104,54.73,44.46,4.9347999999999885,1.4280371358118806
105,54.935,46.265,3.1181999999999945,0.3712480165018232
106,55.29,46.77,2.907599999999988,0.1714478470030977
107,55.095,47.08,2.365399999999994,-0.26473003136701373
108,55.125,47.02,2.462599999999995,-0.21348399605666551
109,55.29,48.01,1.5187999999999988,-0.8263142354267673
110,53.625,47.89,-0.011800000000008026,-2.015248372044702
111,53.645,51.215,-3.7158000000000087,-3.363312212394184
112,54.11,51.425,-3.486000000000004,-2.5115001018933625
113,54.275,51.105,-2.962600000000002,-1.9213294086695203
114,54.8,51.84,-3.2608000000000104,-1.7780269323762503
115,55.17,51.025,-1.9780000000000015,-1.1504794227163078
116,54.885,49.17,-0.18540000000000845,-0.4306174763390686
117,54.79,47.735,1.3267999999999915,0.16562206281935735
118,54.995,48.815,0.32219999999999516,-0.19032266017985042
119,54.43,47.755,0.9443999999999946,0.06738948601927111
120,53.885,47.165,1.0601999999999947,0.10727556103622153
121,54.145,47.185,1.2977999999999952,0.2168500115899898
122,53.795,46.65,1.546999999999997,0.32472539510671505
123,52.41,46.205,0.6603999999999957,0.017055272323674583
124,51.36,46.135,-0.3112000000000066,-0.30526320441636784
125,51.685,46.64,-0.5518000000000001,-0.32934500010036566
126,50.715,45.31,-0.032200000000003115,-0.014091286408802261
127,50.655,46.275,-1.1730000000000018,-0.5115143736003918
128,51.37,47.555,-1.891600000000004,-0.808051828247267
129,52.545,47.735,-0.9182000000000059,-0.2064004729815202
130,52.31,47.125,-0.47000000000000597,0.1124756232255697
131,50.9,46.175,-0.8160000000000025,-0.07323076306195457
132,51.475,46.69,-0.8177999999999983,-0.17362753812206871
133,50.445,45.165,-0.13980000000000103,0.19160732854849177
134,48.87,44.865,-1.3788000000000125,-0.8560555739743777
135,50.18,46.475,-1.872000000000007,-1.4707519977673724
136,48.545,43.25,0.10499999999999687,0.25492462592336557
137,49.415,44.605,-0.5426000000000002,-0.3577704086878382
138,49.475,44.705,-0.5945999999999998,-0.337847263041341
139,51.12,46.175,-0.5960000000000036,-0.29657987564354893
140,49.165,44.6,-0.7870000000000061,-0.4260457786813049
141,48.89,44.3,-0.7259999999999991,-0.2871858228964618
142,48.525,43.07,0.28659999999999286,1.0275195018585541
143,49.11,44.01,-0.18120000000000402,0.666942822005743
144,48.215,42.83,0.24540000000000362,1.4470985124217102
145,47.86,42.84,-0.12080000000000979,0.8158398431493554
146,49.12,43.6,0.2879999999999896,1.3518459466656367
147,48.565,43.08,0.3153999999999968,1.3293146125123776
148,50.15,44.4,0.42199999999999704,1.3399690340920067
149,47.93,42.35,0.49799999999999045,1.3846912906001925
150,41.35,42.01,-5.7012,-3.862091977885817
151,42.555,41.65,-4.0930000000000035,-2.1789240519830053
152,42.965,42.0,-4.075000000000003,-1.8668604234797275
153,43.38,41.67,-3.2904000000000053,-1.2739019677010495
154,43.61,42.2,-3.6540000000000106,-1.3286951435441787
155,44.59,43.48,-4.107599999999998,-1.4228857539049868
156,45.215,44.55,-4.680999999999997,-1.5452669861701032
157,44.65,44.42,-5.100400000000008,-1.5461308436777024
158,44.825,44.11,-4.5782000000000025,-1.182552574353102
159,45.38,44.84,-4.840800000000009,-1.1753699522351568
160,44.845,43.39,-3.751800000000003,-0.6407723290494381
161,44.925,43.34,-3.6158000000000143,-0.5257156511675741
162,45.165,43.53,-3.5886000000000067,-0.45872746841366147
163,44.52,41.23,-1.657599999999995,0.4417740225641792
164,43.865,40.01,-0.9461999999999975,0.7940192756983562
165,43.1,39.18,-0.7816000000000045,0.9170675418708265
166,42.855,37.77,0.5525999999999911,1.5012711624271713
167,42.525,37.93,0.04339999999999833,1.2802168773616631
168,43.41,38.65,0.12199999999999278,1.3294617538756421
169,42.935,37.34,1.1141999999999967,1.7351145631442628
170,43.005,36.97,1.5985999999999976,1.8554588696075343
171,43.745,37.73,1.4873999999999938,1.6179430553825758
172,43.18,37.38,1.314399999999992,1.381516659723279
173,42.545,37.41,0.6458000000000013,1.0036018866043621
174,43.705,38.61,0.46179999999999666,0.8467283742705033
175,43.38,38.63,0.11439999999999628,0.6370066480507961
176,42.675,37.78,0.36139999999998906,0.6647273285476754
177,42.5,37.29,0.735199999999999,0.7450176081026578
178,42.26,37.41,0.36079999999999757,0.5100185100468807
179,42.22,36.34,1.5191999999999908,0.9938916949233201
180,41.96,36.69,0.8671999999999969,0.6026801279292623
181,42.69,36.99,1.261199999999988,0.7854953542407584
182,43.22,38.14,0.5031999999999925,0.17478293938683273
183,43.39,37.99,0.8411999999999935,0.4053014339482362
184,43.25,37.2,1.5859999999999914,1.308457132237191
185,42.86,37.21,1.1847999999999956,0.6934997398860506
186,42.7,37.21,1.024799999999999,0.35800353715989414
187,42.33,37.71,0.09479999999999222,-1.3685467750400562
188,43.07,38.62,-0.18440000000000367,-1.8104733171059675
189,42.6,38.71,-0.7552000000000021,-2.4126761440601823
190,44.03,40.22,-1.0164000000000044,-2.288029639622716
191,44.13,40.56,-1.2972000000000037,-2.229766823118402
192,44.58,40.61,-0.9032000000000053,-1.560442538640612
193,44.46,39.2,0.5559999999999903,0.2156079383656387
194,44.34,39.16,0.4808000000000021,0.13383193563921855
195,43.83,38.96,0.19479999999999364,-0.19990403188379632
196,44.64,40.18,-0.3616000000000028,-0.8376333458533931
197,45.62,39.71,1.1447999999999894,0.9064885784089066
198,45.37,36.31,4.702799999999989,3.2554230646878457
199,45.2,36.81,3.9727999999999994,2.200405701487293
